absolute_course_url,course_name,subject_name
https://www.class-central.com/mooc/777/openhpi-datenmanagement-mit-sql,Datenmanagement mit SQL,Programming 
https://www.class-central.com/mooc/831/udacity-intro-to-java-programming,Intro to Java Programming,Programming 
https://www.class-central.com/mooc/904/open2study-user-experience-for-the-web,User Experience for the Web,Programming 
https://www.class-central.com/mooc/1348/opensap-introduction-to-mobile-solution-development,Introduction to Mobile Solution Development,Programming 
https://www.class-central.com/mooc/1481/udacity-intro-to-point-click-app-development,Intro to Point & Click App Development,Programming 
https://www.class-central.com/mooc/1347/opensap-introduction-to-software-development-on-sap-hana,Introduction to Software Development on SAP HANA,Programming 
https://www.class-central.com/mooc/1046/udacity-mobile-web-development,Mobile Web Development,Programming 
https://www.class-central.com/mooc/1580/stanford-openedx-db-introduction-to-databases,DB: Introduction to Databases,Programming 
https://www.class-central.com/mooc/1788/how-to-create-a-windows-8-app,How to create a Windows 8 App,Programming 
https://www.class-central.com/mooc/1479/udacity-data-wrangling-with-mongodb,Data Wrangling with MongoDB,Programming 
https://www.class-central.com/mooc/1701/openhpi-parallel-programming-concepts,Parallel Programming Concepts,Programming 
https://www.class-central.com/mooc/1952/udacity-make-your-own-2048,Make Your Own 2048,Programming 
https://www.class-central.com/mooc/2013/udacity-programming-foundations-with-python,Programming Foundations with Python,Programming 
https://www.class-central.com/mooc/2110/ada-basic-concepts,Ada: Basic Concepts,Programming 
https://www.class-central.com/mooc/2109/ada-overview,Ada: Overview,Programming 
https://www.class-central.com/mooc/2111/ada-programming-in-the-large,Ada: Programming in the Large,Programming 
https://www.class-central.com/mooc/2189/udacity-website-performance-optimization,Website Performance Optimization,Programming 
https://www.class-central.com/mooc/2212/udacity-ux-design-for-mobile-developers,UX Design for Mobile Developers,Programming 
https://www.class-central.com/mooc/2211/udacity-developing-android-apps,Developing Android Apps,Programming 
https://www.class-central.com/mooc/2335/udacity-software-development-process,Software Development Process,Programming 
https://www.class-central.com/mooc/1894/opensap-an-introduction-to-sap-hana,An Introduction to SAP HANA,Programming 
https://www.class-central.com/mooc/2339/practical-numerical-methods-with-python,Practical Numerical Methods with Python,Programming 
https://www.class-central.com/mooc/2780/cambridge-gsce-computing-online,Cambridge GSCE Computing Online,Programming 
https://www.class-central.com/mooc/2660/udacity-javascript-basics,JavaScript Basics,Programming 
https://www.class-central.com/mooc/2659/udacity-intro-to-html-and-css,Intro to HTML and CSS,Programming 
https://www.class-central.com/mooc/2658/udacity-object-oriented-javascript,Object-Oriented JavaScript,Programming 
https://www.class-central.com/mooc/2997/udacity-intro-to-ajax,Intro to AJAX,Programming 
https://www.class-central.com/mooc/2999/udacity-html5-canvas,HTML5 Canvas,Programming 
https://www.class-central.com/mooc/2861/udacity-intro-to-ios-app-development-with-swift,Intro to iOS App Development with Swift,Programming 
https://www.class-central.com/mooc/2998/udacity-intro-to-jquery,Intro to jQuery,Programming 
https://www.class-central.com/mooc/3253/udacity-intro-to-relational-databases,Intro to Relational Databases,Programming 
https://www.class-central.com/mooc/3254/udacity-full-stack-foundations,Full Stack Foundations,Programming 
https://www.class-central.com/mooc/3255/udacity-responsive-web-design-fundamentals,Responsive Web Design Fundamentals,Programming 
https://www.class-central.com/mooc/2672/opensap-bi-clients-and-applications-on-sap-hana,BI Clients and Applications on SAP HANA,Programming 
https://www.class-central.com/mooc/1346/opensap-introduction-to-sap-hana-cloud-platform,Introduction to SAP HANA Cloud Platform,Programming 
https://www.class-central.com/mooc/2489/opensap-next-steps-in-software-development-on-sap-hana,Next Steps in Software Development on SAP HANA,Programming 
https://www.class-central.com/mooc/2360/opensap-abap-development-for-sap-hana,ABAP Development for SAP HANA,Programming 
https://www.class-central.com/mooc/3243/edx-c-programming-c-,C++ Programming | C++程序设计,Programming 
https://www.class-central.com/mooc/3351/udacity-javascript-testing,JavaScript Testing,Programming 
https://www.class-central.com/mooc/3350/udacity-uikit-fundamentals,UIKit Fundamentals,Programming 
https://www.class-central.com/mooc/2340/stanford-openedx-lpl-language-proof-and-logic,"LPL: Language, Proof and Logic",Programming 
https://www.class-central.com/mooc/3352/udacity-responsive-images,Responsive Images,Programming 
